epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1127.65,0.29608,0.37859,0.90877,0.93803,0.92362,0.9484,0.90555,0.31457,0.41223,0.95306,9.3198e-05,9.3198e-05,9.3198e-05
87,1140.3,0.31141,0.38128,0.91718,0.92634,0.93591,0.94874,0.90683,0.30618,0.42162,0.9481,8.73768e-05,8.73768e-05,8.73768e-05
88,1152.85,0.30073,0.3777,0.91094,0.93899,0.92115,0.94737,0.90663,0.30655,0.41681,0.94736,8.15556e-05,8.15556e-05,8.15556e-05
89,1165.56,0.30363,0.37569,0.91146,0.94304,0.90856,0.94751,0.90695,0.31253,0.43173,0.95787,7.57344e-05,7.57344e-05,7.57344e-05
90,1178.15,0.29342,0.37022,0.90965,0.94534,0.92126,0.94997,0.90938,0.3199,0.40454,0.96284,6.99132e-05,6.99132e-05,6.99132e-05
91,1236.42,0.2174,0.28236,0.89228,0.91645,0.93181,0.94554,0.90578,0.31925,0.44827,0.97118,6.4092e-05,6.4092e-05,6.4092e-05
92,1248.57,0.22025,0.26427,0.8847,0.93225,0.92505,0.94655,0.90417,0.30177,0.42913,0.9469,5.82708e-05,5.82708e-05,5.82708e-05
93,1260.9,0.2145,0.25508,0.88104,0.93141,0.91961,0.94611,0.90566,0.31549,0.43308,0.9685,5.24496e-05,5.24496e-05,5.24496e-05
94,1273.03,0.21665,0.25883,0.89188,0.93245,0.92473,0.94858,0.91047,0.30737,0.42987,0.96184,4.66284e-05,4.66284e-05,4.66284e-05
95,1285.16,0.21615,0.25513,0.88818,0.94154,0.92907,0.94979,0.915,0.29715,0.41742,0.94649,4.08072e-05,4.08072e-05,4.08072e-05
96,1297.09,0.20335,0.23982,0.87483,0.93759,0.91717,0.9459,0.90404,0.30173,0.42234,0.95035,3.4986e-05,3.4986e-05,3.4986e-05
97,1309.35,0.20843,0.24083,0.88802,0.92223,0.94368,0.94874,0.91218,0.29126,0.41517,0.93807,2.91648e-05,2.91648e-05,2.91648e-05
98,1321.36,0.21098,0.24355,0.87714,0.92252,0.9416,0.9498,0.91501,0.29242,0.41013,0.9403,2.33436e-05,2.33436e-05,2.33436e-05
99,1333.44,0.19984,0.23192,0.87177,0.9321,0.93242,0.95066,0.91667,0.29149,0.41156,0.93952,1.75224e-05,1.75224e-05,1.75224e-05
100,1345.64,0.19676,0.23049,0.8725,0.93409,0.9376,0.94947,0.9164,0.28988,0.40615,0.93761,1.17012e-05,1.17012e-05,1.17012e-05
